pos_pair
"('1001465944.jpg#3r1e', A woman with a large purse is walking by a gate., A lady walks past the gate.)"
"('1001465944.jpg#3r3c', A woman with a large purse is walking by a gate., A woman sits on a bench.)"
"('1001633352.jpg#4r1e', Four people are jumping from the top of a flight of stairs., A group is in motion.)"
"('1001633352.jpg#4r2n', Four people are jumping from the top of a flight of stairs., The people are in a hurry.)"
"('100197432.jpg#2r1e', A group of women are standing in front of a bus., Some people are near a bus.)"
"('1005216151.jpg#2r4c', A group of people are walking through a city street., The farmers are in the field.)"
"('1005216151.jpg#2r4n', A group of people are walking through a city street., Some men are in the city.)"
"('1005216151.jpg#3r1e', A crowd is portrayed near a metro station., A crowd is in the public.)"
"('100716317.jpg#2r1e', A person with gray hair is painting in a public place surrounded by others who are also painting., A person is in the painting competition.)"
"('1009692167.jpg#3r1e', A policeman is standing with a German Shepherd dog., Dogs work for the police force.)"
"('101559400.jpg#2r5c', A man in a suit is running past two other gentleman, also dressed in a suit., The running man is in Bermuda shorts.)"
"('101559400.jpg#3r4e', A man in a suit is hurrying across the street., The man is in a rush.)"
"('101559400.jpg#3r5e', A man in a suit is hurrying across the street., The man is in a suit.)"
"('10188041.jpg#3r1e', A man in a black jacket is moving towards a street., A man moves towards the street.)"
"('1019077836.jpg#4r1e', A dog is playing with a hose., A dog is near a hose.)"
"('1019077836.jpg#4r2c', A dog is playing with a hose., A dog is inside drinking from his bowl.)"
"('1019077836.jpg#4r3e', A dog is playing with a hose., An animal is near a hose.)"
"('1021442086.jpg#2r1e', A man wearing a baseball cap is sitting in a car looking at a map., The man sits in his car.)"
"('10287332.jpg#4r4c', Three men are working on a roof., the men are in a boat.)"
"('1030041880.jpg#1r1c', A red-haired woman in a white top and green and white skirt is singing into a microphone., A woman whispers to the child.)"
"('1030041880.jpg#1r1n', A red-haired woman in a white top and green and white skirt is singing into a microphone., A person sings for the crowd.)"
"('10350842.jpg#0r4e', A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake., A person is in a boat.)"
"('10350842.jpg#3r1e', A balding man wearing a red life jacket is sitting in a small boat., A man is on a boat.)"
"('10350842.jpg#4r1c', A man in a red life vest is riding in a canoe., A man sits in a car.)"
"('10350842.jpg#4r1e', A man in a red life vest is riding in a canoe., A man is on a lake.)"
"('104285082.jpg#1r1c', An older man with gray hair is sitting in a chair playing a large instrument made of bamboo., A man run in playground.)"
"('1043819504.jpg#1r5c', A group of people wearing snowshoes, and dressed for winter hiking, is standing in front of a building that looks like it's made of blocks of ice., The building is on fire.)"
"('1049955899.jpg#0r3n', A group of men and women are hiking through a dried up river bed littered with large rocks, which runs between two rocky walls in a dense green forest., Animals lurk in the background.)"
"('1049955899.jpg#4r1c', Two women and three men are hiking along a rocky stream., Several people are in the stream.)"
"('1053116826.jpg#4r1e', Two kids are laughing in the grass., two kids are in the grass.)"
"('1057089366.jpg#3r1e', A little kid is jumping off a high dive at the pool., A little human is in the air.)"
"('1057251835.jpg#0r1c', A white dog is running down a rocky beach., A black dog runs along the beach.)"
"('106356264.jpg#2r2e', A newsstand clerk is surrounded by her colorful merchandise., A lady works at a newsstand.)"
"('1068427675.jpg#2r2e', A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes., The man is at cosmic bowling.)"
"('1068427675.jpg#2r3e', A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes., A man is inside a building.)"
